TIME,dpStatusHTTPConnectionsXMLManager,dpStatusHTTPConnectionsreqTenSec,dpStatusHTTPConnectionsreqOneMin,dpStatusHTTPConnectionsreqTenMin,dpStatusHTTPConnectionsreqOneHr,dpStatusHTTPConnectionsreqOneDay,dpStatusHTTPConnectionsreuseTenSec,dpStatusHTTPConnectionsreuseOneMin,dpStatusHTTPConnectionsreuseTenMin,dpStatusHTTPConnectionsreuseOneHr,dpStatusHTTPConnectionsreuseOneDay,dpStatusHTTPConnectionscreateTenSec,dpStatusHTTPConnectionscreateOneMin,dpStatusHTTPConnectionscreateTenMin,dpStatusHTTPConnectionscreateOneHr,dpStatusHTTPConnectionscreateOneDay,dpStatusHTTPConnectionsreturnTenSec,dpStatusHTTPConnectionsreturnOneMin,dpStatusHTTPConnectionsreturnTenMin,dpStatusHTTPConnectionsreturnOneHr,dpStatusHTTPConnectionsreturnOneDay,dpStatusHTTPConnectionsofferTenSec,dpStatusHTTPConnectionsofferOneMin,dpStatusHTTPConnectionsofferTenMin,dpStatusHTTPConnectionsofferOneHr,dpStatusHTTPConnectionsofferOneDay,dpStatusHTTPConnectionsdestroyTenSec,dpStatusHTTPConnectionsdestroyOneMin,dpStatusHTTPConnectionsdestroyTenMin,dpStatusHTTPConnectionsdestroyOneHr,dpStatusHTTPConnectionsdestroyOneDay
1579010376.366114,CustomDomainsAPIRouter-XMLMgr,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0
1579010376.366114,default,0,1,14,91,2179,0,0,0,0,2,0,1,14,91,2177,0,1,14,91,2179,0,0,0,0,10,0,1,14,91,2169
1579010376.366114,default-attempt-stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579010376.366114,default-wsrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579010376.366114,deploySNIArtifacts-XMLMgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579010376.366114,mbaas_uri_to_host_xmlmgr,8448,46576,456662,2925172,47563654,8445,46418,456153,2921765,47509271,3,159,509,3407,54383,8461,46588,456740,2925429,47564454,8455,46566,456535,2923978,47536163,6,22,205,1451,28291
1579010946.137846,CustomDomainsAPIRouter-XMLMgr,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0
1579010946.137846,default,1,1,15,91,2179,0,0,0,0,2,1,1,15,91,2177,1,1,15,91,2179,0,0,0,0,10,1,1,15,91,2169
1579010946.137846,default-attempt-stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579010946.137846,default-wsrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579010946.137846,deploySNIArtifacts-XMLMgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579010946.137846,mbaas_uri_to_host_xmlmgr,7840,43152,448981,2847770,47563654,7839,43126,448559,2844388,47509271,1,26,422,3381,54383,7863,43165,449068,2848106,47564454,7862,43149,448865,2846642,47536163,1,16,203,1464,28291
1579010976.720263,CustomDomainsAPIRouter-XMLMgr,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0
1579010976.720263,default,0,2,16,91,2179,0,0,0,0,2,0,2,16,91,2177,0,2,16,91,2179,0,0,0,0,10,0,2,16,91,2169
1579010976.720263,default-attempt-stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579010976.720263,default-wsrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579010976.720263,deploySNIArtifacts-XMLMgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579010976.720263,mbaas_uri_to_host_xmlmgr,7293,43218,446295,2847770,47563654,7289,43192,446010,2844388,47509271,4,26,285,3381,54383,7300,43226,446407,2848106,47564454,7297,43213,446210,2846642,47536163,3,13,197,1464,28291
1579011546.463987,CustomDomainsAPIRouter-XMLMgr,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0
