TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1579010376.443637,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579010376.443637,multiProtocolGateway,customDomains,57,64,64,65,69
1579010376.443637,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579010376.443637,multiProtocolGateway,mbaas_uri_to_host,130,110,111,112,129
1579010376.443637,multiProtocolGateway,stats,0,0,0,0,0
1579010946.218323,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579010946.218323,multiProtocolGateway,customDomains,49,67,74,66,69
1579010946.218323,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579010946.218323,multiProtocolGateway,mbaas_uri_to_host,92,122,107,114,129
1579010946.218323,multiProtocolGateway,stats,0,0,0,0,0
1579010976.808004,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579010976.808004,multiProtocolGateway,customDomains,81,58,73,66,69
1579010976.808004,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579010976.808004,multiProtocolGateway,mbaas_uri_to_host,101,165,113,114,129
1579010976.808004,multiProtocolGateway,stats,0,0,0,0,0
1579011546.547492,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579011546.547492,multiProtocolGateway,customDomains,67,97,72,68,69
1579011546.547492,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579011546.547492,multiProtocolGateway,mbaas_uri_to_host,88,106,136,115,129
1579011546.547492,multiProtocolGateway,stats,0,0,0,0,0
1579011577.152006,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579011577.152006,multiProtocolGateway,customDomains,49,73,75,68,69
1579011577.152006,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579011577.152006,multiProtocolGateway,mbaas_uri_to_host,74,100,130,115,129
1579011577.152006,multiProtocolGateway,stats,0,0,0,0,0
1579012146.869448,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579012146.869448,multiProtocolGateway,customDomains,51,81,80,70,69
1579012146.869448,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579012146.869448,multiProtocolGateway,mbaas_uri_to_host,75,93,101,114,129
1579012146.869448,multiProtocolGateway,stats,0,0,0,0,0
1579012177.48845,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579012177.48845,multiProtocolGateway,customDomains,154,84,79,70,69
1579012177.48845,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579012177.48845,multiProtocolGateway,mbaas_uri_to_host,94,110,101,114,129
1579012177.48845,multiProtocolGateway,stats,0,0,0,0,0
1579012747.187827,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579012747.187827,multiProtocolGateway,customDomains,103,80,77,71,67
1579012747.187827,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579012747.187827,multiProtocolGateway,mbaas_uri_to_host,113,92,102,114,127
1579012747.187827,multiProtocolGateway,stats,0,0,0,0,0
1579012777.851005,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579012777.851005,multiProtocolGateway,customDomains,104,81,78,71,67
1579012777.851005,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579012777.851005,multiProtocolGateway,mbaas_uri_to_host,138,99,100,114,127
1579012777.851005,multiProtocolGateway,stats,0,0,0,0,0
1579013347.53862,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579013347.53862,multiProtocolGateway,customDomains,64,91,75,73,67
1579013347.53862,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579013347.53862,multiProtocolGateway,mbaas_uri_to_host,101,112,115,113,127
1579013347.53862,multiProtocolGateway,stats,0,0,0,0,0
1579013378.173937,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579013378.173937,multiProtocolGateway,customDomains,38,73,75,73,67
1579013378.173937,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579013378.173937,multiProtocolGateway,mbaas_uri_to_host,122,102,116,113,127
1579013378.173937,multiProtocolGateway,stats,0,0,0,0,0
1579013947.859747,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579013947.859747,multiProtocolGateway,customDomains,71,63,71,74,67
1579013947.859747,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579013947.859747,multiProtocolGateway,mbaas_uri_to_host,125,120,114,112,127
1579013947.859747,multiProtocolGateway,stats,0,0,0,0,0
1579013951.793894,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579013951.793894,multiProtocolGateway,customDomains,71,63,71,74,67
1579013951.793894,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579013951.793894,multiProtocolGateway,mbaas_uri_to_host,125,120,114,112,127
1579013951.793894,multiProtocolGateway,stats,0,0,0,0,0
1579013978.547621,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579013978.547621,multiProtocolGateway,customDomains,94,67,68,74,67
1579013978.547621,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579013978.547621,multiProtocolGateway,mbaas_uri_to_host,89,122,118,112,127
1579013978.547621,multiProtocolGateway,stats,0,0,0,0,0
1579014061.871033,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579014061.871033,multiProtocolGateway,customDomains,66,67,70,74,67
1579014061.871033,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579014061.871033,multiProtocolGateway,mbaas_uri_to_host,146,144,118,112,127
1579014061.871033,multiProtocolGateway,stats,0,0,0,0,0
1579014548.256542,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579014548.256542,multiProtocolGateway,customDomains,104,83,82,75,67
1579014548.256542,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579014548.256542,multiProtocolGateway,mbaas_uri_to_host,58,83,107,113,127
1579014548.256542,multiProtocolGateway,stats,0,0,0,0,0
1579014552.14898,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579014552.14898,multiProtocolGateway,customDomains,104,83,82,75,67
1579014552.14898,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579014552.14898,multiProtocolGateway,mbaas_uri_to_host,58,83,107,113,127
1579014552.14898,multiProtocolGateway,stats,0,0,0,0,0
1579014578.900442,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579014578.900442,multiProtocolGateway,customDomains,91,81,84,75,67
1579014578.900442,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579014578.900442,multiProtocolGateway,mbaas_uri_to_host,439,127,102,113,127
1579014578.900442,multiProtocolGateway,stats,0,0,0,0,0
1579014662.194364,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579014662.194364,multiProtocolGateway,customDomains,103,86,84,75,67
1579014662.194364,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579014662.194364,multiProtocolGateway,mbaas_uri_to_host,73,109,104,113,127
1579014662.194364,multiProtocolGateway,stats,0,0,0,0,0
1579015148.618639,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579015148.618639,multiProtocolGateway,customDomains,109,78,82,78,67
1579015148.618639,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015148.618639,multiProtocolGateway,mbaas_uri_to_host,90,101,109,110,127
1579015148.618639,multiProtocolGateway,stats,0,0,0,0,0
1579015152.498453,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579015152.498453,multiProtocolGateway,customDomains,109,78,82,78,67
1579015152.498453,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015152.498453,multiProtocolGateway,mbaas_uri_to_host,90,101,109,110,127
1579015152.498453,multiProtocolGateway,stats,0,0,0,0,0
1579015179.233313,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579015179.233313,multiProtocolGateway,customDomains,76,85,83,78,67
1579015179.233313,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015179.233313,multiProtocolGateway,mbaas_uri_to_host,84,91,110,110,127
1579015179.233313,multiProtocolGateway,stats,0,0,0,0,0
1579015262.550978,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579015262.550978,multiProtocolGateway,customDomains,66,82,82,78,67
1579015262.550978,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015262.550978,multiProtocolGateway,mbaas_uri_to_host,137,96,107,110,127
1579015262.550978,multiProtocolGateway,stats,0,0,0,0,0
1579015748.96692,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579015748.96692,multiProtocolGateway,customDomains,85,82,80,78,67
1579015748.96692,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015748.96692,multiProtocolGateway,mbaas_uri_to_host,74,88,94,108,127
1579015748.96692,multiProtocolGateway,stats,0,0,0,0,0
1579015752.819423,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579015752.819423,multiProtocolGateway,customDomains,85,82,80,78,67
1579015752.819423,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015752.819423,multiProtocolGateway,mbaas_uri_to_host,74,88,94,108,127
1579015752.819423,multiProtocolGateway,stats,0,0,0,0,0
1579015779.569377,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579015779.569377,multiProtocolGateway,customDomains,125,80,79,78,67
1579015779.569377,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015779.569377,multiProtocolGateway,mbaas_uri_to_host,99,95,94,108,127
1579015779.569377,multiProtocolGateway,stats,0,0,0,0,0
1579015862.872626,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579015862.872626,multiProtocolGateway,customDomains,55,78,80,78,67
1579015862.872626,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015862.872626,multiProtocolGateway,mbaas_uri_to_host,109,112,96,108,127
1579015862.872626,multiProtocolGateway,stats,0,0,0,0,0
1579016353.130162,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579016353.130162,multiProtocolGateway,customDomains,101,90,83,78,67
1579016353.130162,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579016353.130162,multiProtocolGateway,mbaas_uri_to_host,67,91,94,107,126
1579016353.130162,multiProtocolGateway,stats,0,0,0,0,0
1579016463.213622,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579016463.213622,multiProtocolGateway,customDomains,115,107,85,78,67
1579016463.213622,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579016463.213622,multiProtocolGateway,mbaas_uri_to_host,127,121,93,107,126
1579016463.213622,multiProtocolGateway,stats,0,0,0,0,0
1579016953.457073,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579016953.457073,multiProtocolGateway,customDomains,73,83,91,81,67
1579016953.457073,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579016953.457073,multiProtocolGateway,mbaas_uri_to_host,79,94,115,107,126
1579016953.457073,multiProtocolGateway,stats,0,0,0,0,0
1579017063.527839,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579017063.527839,multiProtocolGateway,customDomains,86,73,91,81,67
