TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1579809404.853062,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579809404.853062,multiProtocolGateway,customDomains,155,94,104,93,69
1579809404.853062,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579809404.853062,multiProtocolGateway,mbaas_uri_to_host,101,108,112,144,199
1579809404.853062,multiProtocolGateway,stats,0,0,0,0,0
1579810005.312771,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579810005.312771,multiProtocolGateway,customDomains,191,108,105,98,69
1579810005.312771,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579810005.312771,multiProtocolGateway,mbaas_uri_to_host,82,102,107,142,199
1579810005.312771,multiProtocolGateway,stats,0,0,0,0,0
1579810605.775657,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579810605.775657,multiProtocolGateway,customDomains,86,88,107,102,69
1579810605.775657,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579810605.775657,multiProtocolGateway,mbaas_uri_to_host,99,82,114,143,199
1579810605.775657,multiProtocolGateway,stats,0,0,0,0,0
1579811206.303258,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579811206.303258,multiProtocolGateway,customDomains,81,134,105,105,69
1579811206.303258,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579811206.303258,multiProtocolGateway,mbaas_uri_to_host,113,148,103,142,199
1579811206.303258,multiProtocolGateway,stats,0,0,0,0,0
1579811806.787851,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579811806.787851,multiProtocolGateway,customDomains,205,97,108,106,70
1579811806.787851,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579811806.787851,multiProtocolGateway,mbaas_uri_to_host,97,95,200,134,199
1579811806.787851,multiProtocolGateway,stats,0,0,0,0,0
1579812407.283417,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579812407.283417,multiProtocolGateway,customDomains,111,126,116,108,70
1579812407.283417,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579812407.283417,multiProtocolGateway,mbaas_uri_to_host,129,118,119,132,199
1579812407.283417,multiProtocolGateway,stats,0,0,0,0,0
1579813007.758749,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579813007.758749,multiProtocolGateway,customDomains,249,137,117,110,70
1579813007.758749,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579813007.758749,multiProtocolGateway,mbaas_uri_to_host,56,88,110,131,199
1579813007.758749,multiProtocolGateway,stats,0,0,0,0,0
1579813608.247401,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579813608.247401,multiProtocolGateway,customDomains,42,91,100,109,70
1579813608.247401,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579813608.247401,multiProtocolGateway,mbaas_uri_to_host,135,133,130,134,199
1579813608.247401,multiProtocolGateway,stats,0,0,0,0,0
1579814208.776422,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
