TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1580200456.634299,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,120
1580200456.634299,multiProtocolGateway,customDomains,85,82,87,75,95
1580200456.634299,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580200456.634299,multiProtocolGateway,mbaas_uri_to_host,87,123,135,136,189
1580200456.634299,multiProtocolGateway,stats,0,0,0,0,0
1580201057.176071,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,120
1580201057.176071,multiProtocolGateway,customDomains,80,86,88,79,96
1580201057.176071,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580201057.176071,multiProtocolGateway,mbaas_uri_to_host,111,125,133,134,189
1580201057.176071,multiProtocolGateway,stats,0,0,0,0,0
1580201657.728885,multiProtocolGateway,CustomDomainsApiRouter,0,0,68,68,120
1580201657.728885,multiProtocolGateway,customDomains,107,90,85,82,96
1580201657.728885,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580201657.728885,multiProtocolGateway,mbaas_uri_to_host,117,170,179,143,189
1580201657.728885,multiProtocolGateway,stats,0,0,0,0,0
1580202258.29924,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,68,120
1580202258.29924,multiProtocolGateway,customDomains,66,83,87,85,96
1580202258.29924,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580202258.29924,multiProtocolGateway,mbaas_uri_to_host,113,117,141,144,189
1580202258.29924,multiProtocolGateway,stats,0,0,0,0,0
1580202858.854365,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,68,120
1580202858.854365,multiProtocolGateway,customDomains,125,98,91,86,96
1580202858.854365,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580202858.854365,multiProtocolGateway,mbaas_uri_to_host,179,145,157,148,189
1580202858.854365,multiProtocolGateway,stats,0,0,0,0,0
1580203459.392123,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,68,120
1580203459.392123,multiProtocolGateway,customDomains,44,75,97,89,96
1580203459.392123,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580203459.392123,multiProtocolGateway,mbaas_uri_to_host,204,136,160,155,189
1580203459.392123,multiProtocolGateway,stats,0,0,0,0,0
1580204060.050556,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,68,120
1580204060.050556,multiProtocolGateway,customDomains,101,107,88,89,96
1580204060.050556,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580204060.050556,multiProtocolGateway,mbaas_uri_to_host,148,122,140,156,189
1580204060.050556,multiProtocolGateway,stats,0,0,0,0,0
1580204660.551853,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,68,107
1580204660.551853,multiProtocolGateway,customDomains,102,106,90,89,95
1580204660.551853,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580204660.551853,multiProtocolGateway,mbaas_uri_to_host,106,175,159,159,189
1580204660.551853,multiProtocolGateway,stats,0,0,0,0,0
1580205261.104262,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,107
1580205261.104262,multiProtocolGateway,customDomains,95,100,96,91,95
1580205261.104262,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580205261.104262,multiProtocolGateway,mbaas_uri_to_host,188,124,158,154,189
1580205261.104262,multiProtocolGateway,stats,0,0,0,0,0
1580205861.684638,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,107
1580205861.684638,multiProtocolGateway,customDomains,153,103,99,93,95
1580205861.684638,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580205861.684638,multiProtocolGateway,mbaas_uri_to_host,188,186,162,156,189
1580205861.684638,multiProtocolGateway,stats,0,0,0,0,0
1580206462.142754,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,107
1580206462.142754,multiProtocolGateway,customDomains,76,117,102,94,95
1580206462.142754,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580206462.142754,multiProtocolGateway,mbaas_uri_to_host,111,121,157,157,189
1580206462.142754,multiProtocolGateway,stats,0,0,0,0,0
1580207062.637222,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,107
1580207062.637222,multiProtocolGateway,customDomains,75,94,104,96,95
1580207062.637222,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580207062.637222,multiProtocolGateway,mbaas_uri_to_host,137,135,136,153,189
1580207062.637222,multiProtocolGateway,stats,0,0,0,0,0
1580207663.147804,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,107
1580207663.147804,multiProtocolGateway,customDomains,85,119,108,99,95
1580207663.147804,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580207663.147804,multiProtocolGateway,mbaas_uri_to_host,113,114,127,152,189
1580207663.147804,multiProtocolGateway,stats,0,0,0,0,0
1580208263.656481,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,75
1580208263.656481,multiProtocolGateway,customDomains,120,99,100,102,95
1580208263.656481,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580208263.656481,multiProtocolGateway,mbaas_uri_to_host,127,178,142,149,153
