TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1579010376.405137,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579010376.405137,multiProtocolGateway,customDomains,800,721,704,763,503
1579010376.405137,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579010376.405137,multiProtocolGateway,mbaas_uri_to_host,46,54,56,49,47
1579010376.405137,multiProtocolGateway,stats,0,0,0,0,0
1579010946.173453,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579010946.173453,multiProtocolGateway,customDomains,715,664,689,739,503
1579010946.173453,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579010946.173453,multiProtocolGateway,mbaas_uri_to_host,69,54,58,51,47
1579010946.173453,multiProtocolGateway,stats,0,0,0,0,0
1579010976.762458,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579010976.762458,multiProtocolGateway,customDomains,686,661,685,739,503
1579010976.762458,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579010976.762458,multiProtocolGateway,mbaas_uri_to_host,44,59,58,51,47
1579010976.762458,multiProtocolGateway,stats,0,0,0,0,0
1579011546.500972,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579011546.500972,multiProtocolGateway,customDomains,636,596,633,713,503
1579011546.500972,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579011546.500972,multiProtocolGateway,mbaas_uri_to_host,48,51,67,54,47
1579011546.500972,multiProtocolGateway,stats,0,0,0,0,0
1579011577.114331,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579011577.114331,multiProtocolGateway,customDomains,618,591,626,713,503
1579011577.114331,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579011577.114331,multiProtocolGateway,mbaas_uri_to_host,57,53,66,54,47
1579011577.114331,multiProtocolGateway,stats,0,0,0,0,0
1579012146.832375,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579012146.832375,multiProtocolGateway,customDomains,597,577,593,687,503
1579012146.832375,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579012146.832375,multiProtocolGateway,mbaas_uri_to_host,56,52,52,56,47
1579012146.832375,multiProtocolGateway,stats,0,0,0,0,0
1579012177.445206,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579012177.445206,multiProtocolGateway,customDomains,543,569,592,687,503
1579012177.445206,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579012177.445206,multiProtocolGateway,mbaas_uri_to_host,52,48,52,56,47
1579012177.445206,multiProtocolGateway,stats,0,0,0,0,0
1579012747.139821,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579012747.139821,multiProtocolGateway,customDomains,607,554,576,659,502
1579012747.139821,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579012747.139821,multiProtocolGateway,mbaas_uri_to_host,71,59,52,58,47
1579012747.139821,multiProtocolGateway,stats,0,0,0,0,0
1579012777.80613,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579012777.80613,multiProtocolGateway,customDomains,541,557,574,659,502
1579012777.80613,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579012777.80613,multiProtocolGateway,mbaas_uri_to_host,39,55,53,58,47
1579012777.80613,multiProtocolGateway,stats,0,0,0,0,0
1579013347.489585,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579013347.489585,multiProtocolGateway,customDomains,621,569,561,635,502
1579013347.489585,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579013347.489585,multiProtocolGateway,mbaas_uri_to_host,64,54,64,58,47
1579013347.489585,multiProtocolGateway,stats,0,0,0,0,0
1579013378.129351,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579013378.129351,multiProtocolGateway,customDomains,551,572,564,635,502
