TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1579809404.812048,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579809404.812048,multiProtocolGateway,customDomains,234,255,251,313,468
1579809404.812048,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579809404.812048,multiProtocolGateway,mbaas_uri_to_host,35,40,43,46,47
1579809404.812048,multiProtocolGateway,stats,0,0,0,0,0
1579810005.274333,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579810005.274333,multiProtocolGateway,customDomains,239,250,244,288,468
1579810005.274333,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579810005.274333,multiProtocolGateway,mbaas_uri_to_host,40,44,40,46,47
1579810005.274333,multiProtocolGateway,stats,0,0,0,0,0
1579810605.736538,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579810605.736538,multiProtocolGateway,customDomains,213,232,238,265,468
1579810605.736538,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579810605.736538,multiProtocolGateway,mbaas_uri_to_host,38,37,39,46,47
1579810605.736538,multiProtocolGateway,stats,0,0,0,0,0
1579811206.258122,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579811206.258122,multiProtocolGateway,customDomains,239,224,229,248,468
1579811206.258122,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579811206.258122,multiProtocolGateway,mbaas_uri_to_host,42,39,39,45,47
1579811206.258122,multiProtocolGateway,stats,0,0,0,0,0
1579811806.742593,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579811806.742593,multiProtocolGateway,customDomains,224,240,234,241,465
1579811806.742593,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579811806.742593,multiProtocolGateway,mbaas_uri_to_host,52,50,65,45,47
1579811806.742593,multiProtocolGateway,stats,0,0,0,0,0
1579812407.235658,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579812407.235658,multiProtocolGateway,customDomains,234,248,241,239,465
1579812407.235658,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579812407.235658,multiProtocolGateway,mbaas_uri_to_host,63,55,48,46,47
1579812407.235658,multiProtocolGateway,stats,0,0,0,0,0
1579813007.719049,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579813007.719049,multiProtocolGateway,customDomains,224,238,254,240,465
1579813007.719049,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579813007.719049,multiProtocolGateway,mbaas_uri_to_host,60,55,56,48,47
1579813007.719049,multiProtocolGateway,stats,0,0,0,0,0
1579813608.208115,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579813608.208115,multiProtocolGateway,customDomains,235,231,241,239,465
1579813608.208115,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579813608.208115,multiProtocolGateway,mbaas_uri_to_host,47,51,51,50,47
1579813608.208115,multiProtocolGateway,stats,0,0,0,0,0
1579814208.733144,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579814208.733144,multiProtocolGateway,customDomains,210,229,234,239,465
1579814208.733144,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579814208.733144,multiProtocolGateway,mbaas_uri_to_host,44,55,55,52,47
1579814208.733144,multiProtocolGateway,stats,0,0,0,0,0
1579814809.220528,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579814809.220528,multiProtocolGateway,customDomains,209,214,220,237,465
1579814809.220528,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579814809.220528,multiProtocolGateway,mbaas_uri_to_host,62,56,50,54,47
1579814809.220528,multiProtocolGateway,stats,0,0,0,0,0
1579815411.100244,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579815411.100244,multiProtocolGateway,customDomains,220,218,217,234,462
1579815411.100244,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579815411.100244,multiProtocolGateway,mbaas_uri_to_host,39,48,69,55,47
1579815411.100244,multiProtocolGateway,stats,0,0,0,0,0
