TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1580200456.574509,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580200456.574509,multiProtocolGateway,customDomains,986,996,1017,919,510
1580200456.574509,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580200456.574509,multiProtocolGateway,mbaas_uri_to_host,29,35,38,44,43
1580200456.574509,multiProtocolGateway,stats,0,0,0,0,0
1580201057.122547,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580201057.122547,multiProtocolGateway,customDomains,1056,1010,996,953,508
1580201057.122547,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580201057.122547,multiProtocolGateway,mbaas_uri_to_host,36,38,37,41,43
1580201057.122547,multiProtocolGateway,stats,0,0,0,0,0
1580201657.657375,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580201657.657375,multiProtocolGateway,customDomains,1047,993,1007,984,508
1580201657.657375,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580201657.657375,multiProtocolGateway,mbaas_uri_to_host,26,34,69,45,43
1580201657.657375,multiProtocolGateway,stats,0,0,0,0,0
1580202258.219842,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580202258.219842,multiProtocolGateway,customDomains,977,945,972,994,508
1580202258.219842,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580202258.219842,multiProtocolGateway,mbaas_uri_to_host,48,43,34,45,43
1580202258.219842,multiProtocolGateway,stats,0,0,0,0,0
1580202858.787961,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580202858.787961,multiProtocolGateway,customDomains,1026,1045,969,991,508
1580202858.787961,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580202858.787961,multiProtocolGateway,mbaas_uri_to_host,45,34,38,42,43
1580202858.787961,multiProtocolGateway,stats,0,0,0,0,0
1580203459.344631,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580203459.344631,multiProtocolGateway,customDomains,892,884,948,985,508
1580203459.344631,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580203459.344631,multiProtocolGateway,mbaas_uri_to_host,22,28,58,46,43
1580203459.344631,multiProtocolGateway,stats,0,0,0,0,0
1580204060.004287,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580204060.004287,multiProtocolGateway,customDomains,949,870,983,979,508
1580204060.004287,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580204060.004287,multiProtocolGateway,mbaas_uri_to_host,51,39,36,45,43
1580204060.004287,multiProtocolGateway,stats,0,0,0,0,0
1580204660.482195,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580204660.482195,multiProtocolGateway,customDomains,975,989,1015,980,505
1580204660.482195,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580204660.482195,multiProtocolGateway,mbaas_uri_to_host,45,43,40,46,43
1580204660.482195,multiProtocolGateway,stats,0,0,0,0,0
1580205261.055213,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580205261.055213,multiProtocolGateway,customDomains,1036,1038,1012,981,505
1580205261.055213,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580205261.055213,multiProtocolGateway,mbaas_uri_to_host,32,42,51,43,43
1580205261.055213,multiProtocolGateway,stats,0,0,0,0,0
1580205861.603799,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580205861.603799,multiProtocolGateway,customDomains,1045,1006,1009,987,505
1580205861.603799,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580205861.603799,multiProtocolGateway,mbaas_uri_to_host,117,64,39,43,43
1580205861.603799,multiProtocolGateway,stats,0,0,0,0,0
1580206462.096597,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580206462.096597,multiProtocolGateway,customDomains,976,1017,1038,998,505
1580206462.096597,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580206462.096597,multiProtocolGateway,mbaas_uri_to_host,30,33,54,46,43
1580206462.096597,multiProtocolGateway,stats,0,0,0,0,0
1580207062.598556,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580207062.598556,multiProtocolGateway,customDomains,1058,1062,1024,1010,505
1580207062.598556,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580207062.598556,multiProtocolGateway,mbaas_uri_to_host,26,32,35,42,43
1580207062.598556,multiProtocolGateway,stats,0,0,0,0,0
1580207663.098214,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580207663.098214,multiProtocolGateway,customDomains,981,1032,1019,1017,505
1580207663.098214,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580207663.098214,multiProtocolGateway,mbaas_uri_to_host,26,36,32,42,43
1580207663.098214,multiProtocolGateway,stats,0,0,0,0,0
1580208263.61046,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580208263.61046,multiProtocolGateway,customDomains,1018,1006,1009,1018,503
1580208263.61046,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580208263.61046,multiProtocolGateway,mbaas_uri_to_host,38,38,38,42,43
1580208263.61046,multiProtocolGateway,stats,0,0,0,0,0
1580208864.098429,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580208864.098429,multiProtocolGateway,customDomains,1023,1013,1026,1021,503
1580208864.098429,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580208864.098429,multiProtocolGateway,mbaas_uri_to_host,46,33,45,41,43
1580208864.098429,multiProtocolGateway,stats,0,0,0,0,0
1580209464.564956,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580209464.564956,multiProtocolGateway,customDomains,1058,1014,1001,1019,503
1580209464.564956,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580209464.564956,multiProtocolGateway,mbaas_uri_to_host,52,58,41,41,43
1580209464.564956,multiProtocolGateway,stats,0,0,0,0,0
1580210065.155899,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580210065.155899,multiProtocolGateway,customDomains,1019,1031,1007,1014,503
1580210065.155899,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580210065.155899,multiProtocolGateway,mbaas_uri_to_host,58,39,39,38,43
1580210065.155899,multiProtocolGateway,stats,0,0,0,0,0
1580210665.650801,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580210665.650801,multiProtocolGateway,customDomains,1063,945,955,1005,503
1580210665.650801,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580210665.650801,multiProtocolGateway,mbaas_uri_to_host,37,32,37,39,43
1580210665.650801,multiProtocolGateway,stats,0,0,0,0,0
1580211266.203513,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580211266.203513,multiProtocolGateway,customDomains,876,964,972,996,503
1580211266.203513,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580211266.203513,multiProtocolGateway,mbaas_uri_to_host,42,36,38,40,43
1580211266.203513,multiProtocolGateway,stats,0,0,0,0,0
1580211866.663474,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580211866.663474,multiProtocolGateway,customDomains,1040,1036,974,989,500
