TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1579809405.147893,ethernet,eth0,9273,564922,10790,21590,68116
1579809405.147893,ethernet,eth0-vip,0,0,0,0,0
1579809405.147893,ethernet,eth1,17578,18102,17637,52800,77609
1579809405.147893,ethernet,eth1-vip,0,0,0,0,0
1579809405.147893,ethernet,eth2,12,12,12,12,12
1579809405.147893,ethernet,eth3,0,0,0,0,0
1579810005.61319,ethernet,eth0,5812,7139,63450,30106,68372
1579810005.61319,ethernet,eth0-vip,0,0,0,0,0
1579810005.61319,ethernet,eth1,18000,18154,72454,41240,76556
1579810005.61319,ethernet,eth1-vip,0,0,0,0,0
1579810005.61319,ethernet,eth2,12,12,12,12,12
1579810005.61319,ethernet,eth3,0,0,0,0,0
1579810606.099822,ethernet,eth0,8070,5637,7329,20016,68372
1579810606.099822,ethernet,eth0-vip,0,0,0,0,0
1579810606.099822,ethernet,eth1,15390,16225,16653,48300,76556
1579810606.099822,ethernet,eth1-vip,0,0,0,0,0
1579810606.099822,ethernet,eth2,12,12,12,12,12
1579810606.099822,ethernet,eth3,0,0,0,0,0
1579811206.612446,ethernet,eth0,7149,7423,6072,19456,68372
1579811206.612446,ethernet,eth0-vip,0,0,0,0,0
1579811206.612446,ethernet,eth1,17347,15623,15863,37117,76556
1579811206.612446,ethernet,eth1-vip,0,0,0,0,0
1579811206.612446,ethernet,eth2,12,12,12,12,12
1579811206.612446,ethernet,eth3,0,0,0,0,0
1579811807.096563,ethernet,eth0,12652,10405,8285,18575,68372
1579811807.096563,ethernet,eth0-vip,0,0,0,0,0
1579811807.096563,ethernet,eth1,15924,16369,16161,35697,76556
1579811807.096563,ethernet,eth1-vip,0,0,0,0,0
1579811807.096563,ethernet,eth2,12,12,12,12,12
1579811807.096563,ethernet,eth3,0,0,0,0,0
1579812407.584122,ethernet,eth0,11585,12976,9682,17916,68372
1579812407.584122,ethernet,eth0-vip,0,0,0,0,0
1579812407.584122,ethernet,eth1,16513,16781,71791,35239,76556
1579812407.584122,ethernet,eth1-vip,0,0,0,0,0
1579812407.584122,ethernet,eth2,12,12,12,12,12
1579812407.584122,ethernet,eth3,0,0,0,0,0
1579813008.080071,ethernet,eth0,7818,15172,14850,17716,68372
1579813008.080071,ethernet,eth0-vip,0,0,0,0,0
1579813008.080071,ethernet,eth1,14964,16943,17166,35039,76556
1579813008.080071,ethernet,eth1-vip,0,0,0,0,0
1579813008.080071,ethernet,eth2,12,12,12,12,12
1579813008.080071,ethernet,eth3,0,0,0,0,0
1579813608.597251,ethernet,eth0,18985,19802,74044,18502,68285
1579813608.597251,ethernet,eth0-vip,0,0,0,0,0
1579813608.597251,ethernet,eth1,16950,16337,16689,34998,76301
1579813608.597251,ethernet,eth1-vip,0,0,0,0,0
1579813608.597251,ethernet,eth2,12,12,12,12,12
1579813608.597251,ethernet,eth3,0,0,0,0,0
1579814209.092525,ethernet,eth0,17684,17980,18181,20458,68285
1579814209.092525,ethernet,eth0-vip,0,0,0,0,0
1579814209.092525,ethernet,eth1,14897,15730,71680,25689,76301
1579814209.092525,ethernet,eth1-vip,0,0,0,0,0
1579814209.092525,ethernet,eth2,13,12,12,12,12
1579814209.092525,ethernet,eth3,0,0,0,0,0
1579814809.5422,ethernet,eth0,14593,15569,15924,22206,68285
1579814809.5422,ethernet,eth0-vip,0,0,0,0,0
1579814809.5422,ethernet,eth1,14634,14175,14822,34859,76301
1579814809.5422,ethernet,eth1-vip,0,0,0,0,0
1579814809.5422,ethernet,eth2,12,12,12,12,12
1579814809.5422,ethernet,eth3,0,0,0,0,0
1579815411.43245,ethernet,eth0,11586,9204,68015,23779,68285
1579815411.43245,ethernet,eth0-vip,0,0,0,0,0
1579815411.43245,ethernet,eth1,14951,14333,14459,34666,76301
1579815411.43245,ethernet,eth1-vip,0,0,0,0,0
1579815411.43245,ethernet,eth2,12,12,12,12,12
