TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1580987741.428385,ethernet,eth0,77210,76807,131447,147327,63951
1580987741.428385,ethernet,eth0-vip,0,0,0,0,0
1580987741.428385,ethernet,eth1,95168,621603,201977,193118,84416
1580987741.428385,ethernet,eth1-vip,0,0,0,0,0
1580987741.428385,ethernet,eth2,12,12,12,12,12
1580987741.428385,ethernet,eth3,0,0,0,0,0
1580988342.030531,ethernet,eth0,65559,71524,126426,157339,63951
1580988342.030531,ethernet,eth0-vip,0,0,0,0,0
1580988342.030531,ethernet,eth1,97631,96004,148798,184478,84416
1580988342.030531,ethernet,eth1-vip,0,0,0,0,0
1580988342.030531,ethernet,eth2,12,12,12,12,12
1580988342.030531,ethernet,eth3,0,0,0,0,0
1580988942.612853,ethernet,eth0,73737,65364,178581,147191,63951
1580988942.612853,ethernet,eth0-vip,0,0,0,0,0
1580988942.612853,ethernet,eth1,94611,91093,197591,183283,84416
1580988942.612853,ethernet,eth1-vip,0,0,0,0,0
1580988942.612853,ethernet,eth2,13,12,12,12,12
1580988942.612853,ethernet,eth3,0,0,0,0,0
1580989543.169278,ethernet,eth0,74918,74039,125840,146496,63951
1580989543.169278,ethernet,eth0-vip,0,0,0,0,0
1580989543.169278,ethernet,eth1,96090,91744,198545,191665,84416
1580989543.169278,ethernet,eth1-vip,0,0,0,0,0
1580989543.169278,ethernet,eth2,12,12,12,12,12
1580989543.169278,ethernet,eth3,0,0,0,0,0
1580990143.740566,ethernet,eth0,66261,67777,129481,155177,63951
1580990143.740566,ethernet,eth0-vip,0,0,0,0,0
1580990143.740566,ethernet,eth1,91738,92941,148299,183212,84416
1580990143.740566,ethernet,eth1-vip,0,0,0,0,0
1580990143.740566,ethernet,eth2,12,12,12,12,12
1580990143.740566,ethernet,eth3,0,0,0,0,0
1580990744.260557,ethernet,eth0,64184,65637,176119,145126,63275
1580990744.260557,ethernet,eth0-vip,0,0,0,0,0
1580990744.260557,ethernet,eth1,91932,91329,196760,182307,84442
1580990744.260557,ethernet,eth1-vip,0,0,0,0,0
1580990744.260557,ethernet,eth2,12,12,12,12,12
1580990744.260557,ethernet,eth3,0,0,0,0,0
1580991345.252583,ethernet,eth0,62784,63569,124987,144008,63275
1580991345.252583,ethernet,eth0-vip,0,0,0,0,0
1580991345.252583,ethernet,eth1,88007,617931,197652,181519,84442
1580991345.252583,ethernet,eth1-vip,0,0,0,0,0
1580991345.252583,ethernet,eth2,12,12,12,12,12
1580991345.252583,ethernet,eth3,0,0,0,0,0
1580991945.747403,ethernet,eth0,55499,63933,119312,134430,63275
1580991945.747403,ethernet,eth0-vip,0,0,0,0,0
1580991945.747403,ethernet,eth1,90292,89625,141738,180850,84442
1580991945.747403,ethernet,eth1-vip,0,0,0,0,0
1580991945.747403,ethernet,eth2,13,12,12,12,12
1580991945.747403,ethernet,eth3,0,0,0,0,0
1580992546.258915,ethernet,eth0,60488,66864,122019,141792,63275
1580992546.258915,ethernet,eth0-vip,0,0,0,0,0
1580992546.258915,ethernet,eth1,90163,87468,197037,179937,84442
1580992546.258915,ethernet,eth1-vip,0,0,0,0,0
1580992546.258915,ethernet,eth2,12,12,12,12,12
1580992546.258915,ethernet,eth3,0,0,0,0,0
1580993146.89928,ethernet,eth0,51674,60291,111270,140810,63275
1580993146.89928,ethernet,eth0-vip,0,0,0,0,0
1580993146.89928,ethernet,eth1,78360,81718,134595,170448,84442
1580993146.89928,ethernet,eth1-vip,0,0,0,0,0
1580993146.89928,ethernet,eth2,12,12,12,12,12
1580993146.89928,ethernet,eth3,0,0,0,0,0
1580993747.459588,ethernet,eth0,54079,599427,118515,129690,63275
1580993747.459588,ethernet,eth0-vip,0,0,0,0,0
1580993747.459588,ethernet,eth1,82353,83372,187860,177317,84442
1580993747.459588,ethernet,eth1-vip,0,0,0,0,0
1580993747.459588,ethernet,eth2,13,12,12,12,12
1580993747.459588,ethernet,eth3,0,0,0,0,0
1580994348.040933,ethernet,eth0,68178,64114,166943,127871,62395
1580994348.040933,ethernet,eth0-vip,0,0,0,0,0
1580994348.040933,ethernet,eth1,79272,76100,131805,166360,83990
1580994348.040933,ethernet,eth1-vip,0,0,0,0,0
1580994348.040933,ethernet,eth2,12,12,12,12,12
1580994348.040933,ethernet,eth3,0,0,0,0,0
1580994948.893991,ethernet,eth0,52092,48933,109328,126259,62395
