TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579010376.613703,ethernet,eth0,61460,54764,108026,112553,68220
1579010376.613703,ethernet,eth0-vip,0,0,0,0,0
1579010376.613703,ethernet,eth1,90088,73701,126476,146549,91773
1579010376.613703,ethernet,eth1-vip,0,0,0,0,0
1579010376.613703,ethernet,eth2,0,0,0,0,0
1579010376.613703,ethernet,eth3,0,0,0,0,0
1579010946.378086,ethernet,eth0,49271,50162,106534,110613,68220
1579010946.378086,ethernet,eth0-vip,0,0,0,0,0
1579010946.378086,ethernet,eth1,3290304,604675,177326,144436,91773
1579010946.378086,ethernet,eth1-vip,0,0,0,0,0
1579010946.378086,ethernet,eth2,0,0,0,0,0
1579010946.378086,ethernet,eth3,0,0,0,0,0
1579010976.978858,ethernet,eth0,51801,49989,106534,110613,68220
1579010976.978858,ethernet,eth0-vip,0,0,0,0,0
1579010976.978858,ethernet,eth1,78348,603738,177326,144436,91773
1579010976.978858,ethernet,eth1-vip,0,0,0,0,0
1579010976.978858,ethernet,eth2,0,0,0,0,0
1579010976.978858,ethernet,eth3,0,0,0,0,0
1579011546.703031,ethernet,eth0,41256,42943,100715,108421,68220
1579011546.703031,ethernet,eth0-vip,0,0,0,0,0
1579011546.703031,ethernet,eth1,60108,57603,115431,133321,91773
1579011546.703031,ethernet,eth1-vip,0,0,0,0,0
1579011546.703031,ethernet,eth2,0,0,0,0,0
1579011546.703031,ethernet,eth3,0,0,0,0,0
1579011577.306196,ethernet,eth0,44857,42084,100715,108421,68220
1579011577.306196,ethernet,eth0-vip,0,0,0,0,0
1579011577.306196,ethernet,eth1,56251,56559,115431,133321,91773
1579011577.306196,ethernet,eth1-vip,0,0,0,0,0
1579011577.306196,ethernet,eth2,0,0,0,0,0
1579011577.306196,ethernet,eth3,0,0,0,0,0
