TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579809405.000308,ethernet,eth0,14328,14779,14424,39154,65093
1579809405.000308,ethernet,eth0-vip,0,0,0,0,0
1579809405.000308,ethernet,eth1,18831,18918,20408,53094,101335
1579809405.000308,ethernet,eth1-vip,0,0,0,0,0
1579809405.000308,ethernet,eth2,0,0,0,0,0
1579809405.000308,ethernet,eth3,0,0,0,0,0
1579810005.459098,ethernet,eth0,14936,14920,13964,37146,64852
1579810005.459098,ethernet,eth0-vip,0,0,0,0,0
1579810005.459098,ethernet,eth1,15193,17059,72702,42105,100687
1579810005.459098,ethernet,eth1-vip,0,0,0,0,0
1579810005.459098,ethernet,eth2,0,0,0,0,0
1579810005.459098,ethernet,eth3,0,0,0,0,0
1579810605.937889,ethernet,eth0,12492,13270,13608,35351,64852
1579810605.937889,ethernet,eth0-vip,0,0,0,0,0
1579810605.937889,ethernet,eth1,16664,14779,16622,49520,100687
1579810605.937889,ethernet,eth1-vip,0,0,0,0,0
1579810605.937889,ethernet,eth2,0,0,0,0,0
1579810605.937889,ethernet,eth3,0,0,0,0,0
1579811206.45266,ethernet,eth0,14188,12761,68388,24503,64852
1579811206.45266,ethernet,eth0-vip,0,0,0,0,0
1579811206.45266,ethernet,eth1,16585,16030,14974,38809,100687
1579811206.45266,ethernet,eth1-vip,0,0,0,0,0
1579811206.45266,ethernet,eth2,0,0,0,0,0
1579811206.45266,ethernet,eth3,0,0,0,0,0
1579811806.942498,ethernet,eth0,13432,13558,13287,32587,64852
1579811806.942498,ethernet,eth0-vip,0,0,0,0,0
1579811806.942498,ethernet,eth1,20515,19348,17160,37221,100687
1579811806.942498,ethernet,eth1-vip,0,0,0,0,0
1579811806.942498,ethernet,eth2,0,0,0,0,0
1579811806.942498,ethernet,eth3,0,0,0,0,0
1579812407.429062,ethernet,eth0,13721,13845,13410,32207,64852
1579812407.429062,ethernet,eth0-vip,0,0,0,0,0
1579812407.429062,ethernet,eth1,20194,22067,74135,27147,100687
1579812407.429062,ethernet,eth1-vip,0,0,0,0,0
1579812407.429062,ethernet,eth2,0,0,0,0,0
1579812407.429062,ethernet,eth3,0,0,0,0,0
1579813007.92618,ethernet,eth0,12296,14057,14120,22806,64852
1579813007.92618,ethernet,eth0-vip,0,0,0,0,0
1579813007.92618,ethernet,eth1,17455,23765,24132,36086,100687
1579813007.92618,ethernet,eth1-vip,0,0,0,0,0
1579813007.92618,ethernet,eth2,0,0,0,0,0
1579813007.92618,ethernet,eth3,0,0,0,0,0
1579813608.435194,ethernet,eth0,14039,13442,69263,22787,64254
1579813608.435194,ethernet,eth0-vip,0,0,0,0,0
1579813608.435194,ethernet,eth1,27429,28256,82568,36894,100112
1579813608.435194,ethernet,eth1-vip,0,0,0,0,0
1579813608.435194,ethernet,eth2,0,0,0,0,0
1579813608.435194,ethernet,eth3,0,0,0,0,0
1579814208.944706,ethernet,eth0,12225,13054,13501,31991,64254
1579814208.944706,ethernet,eth0-vip,0,0,0,0,0
1579814208.944706,ethernet,eth1,25580,26188,26620,38641,100112
1579814208.944706,ethernet,eth1-vip,0,0,0,0,0
1579814208.944706,ethernet,eth2,0,0,0,0,0
1579814208.944706,ethernet,eth3,0,0,0,0,0
1579814809.395749,ethernet,eth0,11976,11647,12191,31975,64254
1579814809.395749,ethernet,eth0-vip,0,0,0,0,0
1579814809.395749,ethernet,eth1,22585,23396,78764,40246,100112
1579814809.395749,ethernet,eth1-vip,0,0,0,0,0
1579814809.395749,ethernet,eth2,0,0,0,0,0
1579814809.395749,ethernet,eth3,0,0,0,0,0
