TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1580200456.790328,ethernet,eth0,72472,74306,182182,129555,69024
1580200456.790328,ethernet,eth0-vip,0,0,0,0,0
1580200456.790328,ethernet,eth1,68031,71458,126207,128826,72727
1580200456.790328,ethernet,eth1-vip,0,0,0,0,0
1580200456.790328,ethernet,eth2,0,0,0,0,0
1580200456.790328,ethernet,eth3,0,0,0,0,0
1580201057.316231,ethernet,eth0,80049,75998,127900,132021,69024
1580201057.316231,ethernet,eth0-vip,0,0,0,0,0
1580201057.316231,ethernet,eth1,76542,72627,178686,131128,72727
1580201057.316231,ethernet,eth1-vip,0,0,0,0,0
1580201057.316231,ethernet,eth2,0,0,0,0,0
1580201057.316231,ethernet,eth3,0,0,0,0,0
1580201657.854416,ethernet,eth0,78508,75188,129051,143167,69024
1580201657.854416,ethernet,eth0-vip,0,0,0,0,0
1580201657.854416,ethernet,eth1,71514,69031,125989,132910,72727
1580201657.854416,ethernet,eth1-vip,0,0,0,0,0
1580201657.854416,ethernet,eth2,0,0,0,0,0
1580201657.854416,ethernet,eth3,0,0,0,0,0
1580202258.428016,ethernet,eth0,73542,70280,179245,145011,69024
1580202258.428016,ethernet,eth0-vip,0,0,0,0,0
1580202258.428016,ethernet,eth1,68017,65616,120927,134528,72727
1580202258.428016,ethernet,eth1-vip,0,0,0,0,0
1580202258.428016,ethernet,eth2,0,0,0,0,0
1580202258.428016,ethernet,eth3,0,0,0,0,0
1580202859.020434,ethernet,eth0,72738,75678,126084,144655,68843
1580202859.020434,ethernet,eth0-vip,0,0,0,0,0
1580202859.020434,ethernet,eth1,77068,76270,121336,142070,72313
1580202859.020434,ethernet,eth1-vip,0,0,0,0,0
1580202859.020434,ethernet,eth2,0,0,0,0,0
1580202859.020434,ethernet,eth3,0,0,0,0,0
1580203459.516592,ethernet,eth0,68937,67204,124842,136255,68843
1580203459.516592,ethernet,eth0-vip,0,0,0,0,0
1580203459.516592,ethernet,eth1,63035,65087,175942,141932,72313
1580203459.516592,ethernet,eth1-vip,0,0,0,0,0
1580203459.516592,ethernet,eth2,0,0,0,0,0
1580203459.516592,ethernet,eth3,0,0,0,0,0
1580204060.167622,ethernet,eth0,71034,602134,179916,144468,68843
1580204060.167622,ethernet,eth0-vip,0,0,0,0,0
1580204060.167622,ethernet,eth1,71562,67233,126001,132216,72313
1580204060.167622,ethernet,eth1-vip,0,0,0,0,0
1580204060.167622,ethernet,eth2,0,0,0,0,0
1580204060.167622,ethernet,eth3,0,0,0,0,0
1580204660.736419,ethernet,eth0,76892,76085,129468,144636,68843
1580204660.736419,ethernet,eth0-vip,0,0,0,0,0
1580204660.736419,ethernet,eth1,80611,77096,129903,132732,72313
1580204660.736419,ethernet,eth1-vip,0,0,0,0,0
1580204660.736419,ethernet,eth2,0,0,0,0,0
1580204660.736419,ethernet,eth3,0,0,0,0,0
1580205261.224067,ethernet,eth0,80305,77083,129862,135773,68843
1580205261.224067,ethernet,eth0-vip,0,0,0,0,0
1580205261.224067,ethernet,eth1,85071,75860,182683,142308,72313
1580205261.224067,ethernet,eth1-vip,0,0,0,0,0
1580205261.224067,ethernet,eth2,0,0,0,0,0
1580205261.224067,ethernet,eth3,0,0,0,0,0
1580205861.816635,ethernet,eth0,77244,74244,182560,145158,68843
