"Series";"Time";"Value"
"global cpu_usage";"2019-07-14T11:00:00+02:00";null
"global cpu_usage";"2019-07-14T14:00:00+02:00";null
"global cpu_usage";"2019-07-14T17:00:00+02:00";null
"global cpu_usage";"2019-07-14T20:00:00+02:00";null
"global cpu_usage";"2019-07-14T23:00:00+02:00";null
"global cpu_usage";"2019-07-15T02:00:00+02:00";null
"global cpu_usage";"2019-07-15T05:00:00+02:00";null
"global cpu_usage";"2019-07-15T08:00:00+02:00";null
"global cpu_usage";"2019-07-15T11:00:00+02:00";null
"global cpu_usage";"2019-07-15T14:00:00+02:00";null
"global cpu_usage";"2019-07-15T17:00:00+02:00";null
"global cpu_usage";"2019-07-15T20:00:00+02:00";null
"global cpu_usage";"2019-07-15T23:00:00+02:00";null
"global cpu_usage";"2019-07-16T02:00:00+02:00";null
"global cpu_usage";"2019-07-16T05:00:00+02:00";null
"global cpu_usage";"2019-07-16T08:00:00+02:00";null
"global cpu_usage";"2019-07-16T11:00:00+02:00";null
"global cpu_usage";"2019-07-16T14:00:00+02:00";null
"global cpu_usage";"2019-07-16T17:00:00+02:00";null
"global cpu_usage";"2019-07-16T20:00:00+02:00";null
"global cpu_usage";"2019-07-16T23:00:00+02:00";null
"global cpu_usage";"2019-07-17T02:00:00+02:00";null
"global cpu_usage";"2019-07-17T05:00:00+02:00";null
"global cpu_usage";"2019-07-17T08:00:00+02:00";null
"global cpu_usage";"2019-07-17T11:00:00+02:00";null
"global cpu_usage";"2019-07-17T14:00:00+02:00";null
"global cpu_usage";"2019-07-17T17:00:00+02:00";null
"global cpu_usage";"2019-07-17T20:00:00+02:00";null
"global cpu_usage";"2019-07-17T23:00:00+02:00";null
"global cpu_usage";"2019-07-18T02:00:00+02:00";null
"global cpu_usage";"2019-07-18T05:00:00+02:00";null
"global cpu_usage";"2019-07-18T08:00:00+02:00";null
"global cpu_usage";"2019-07-18T11:00:00+02:00";null
"global cpu_usage";"2019-07-18T14:00:00+02:00";null
"global cpu_usage";"2019-07-18T17:00:00+02:00";null
"global cpu_usage";"2019-07-18T20:00:00+02:00";null
"global cpu_usage";"2019-07-18T23:00:00+02:00";null
"global cpu_usage";"2019-07-19T02:00:00+02:00";null
"global cpu_usage";"2019-07-19T05:00:00+02:00";null
"global cpu_usage";"2019-07-19T08:00:00+02:00";null
"global cpu_usage";"2019-07-19T11:00:00+02:00";null
"global cpu_usage";"2019-07-19T14:00:00+02:00";null
"global cpu_usage";"2019-07-19T17:00:00+02:00";null
"global cpu_usage";"2019-07-19T20:00:00+02:00";null
"global cpu_usage";"2019-07-19T23:00:00+02:00";null
"global cpu_usage";"2019-07-20T02:00:00+02:00";null
"global cpu_usage";"2019-07-20T05:00:00+02:00";null
"global cpu_usage";"2019-07-20T08:00:00+02:00";null
"global cpu_usage";"2019-07-20T11:00:00+02:00";null
"global cpu_usage";"2019-07-20T14:00:00+02:00";null
"global cpu_usage";"2019-07-20T17:00:00+02:00";null
"global cpu_usage";"2019-07-20T20:00:00+02:00";null
"global cpu_usage";"2019-07-20T23:00:00+02:00";null
