"Series";"Time";"Value"
"GoRouter1";"2019-07-15T08:00:00+02:00";null
"GoRouter1";"2019-07-15T14:00:00+02:00";null
"GoRouter1";"2019-07-15T20:00:00+02:00";null
"GoRouter1";"2019-07-16T02:00:00+02:00";null
"GoRouter1";"2019-07-16T08:00:00+02:00";null
"GoRouter1";"2019-07-16T14:00:00+02:00";null
"GoRouter1";"2019-07-16T20:00:00+02:00";null
"GoRouter1";"2019-07-17T02:00:00+02:00";null
"GoRouter1";"2019-07-17T08:00:00+02:00";null
"GoRouter1";"2019-07-17T14:00:00+02:00";null
"GoRouter1";"2019-07-17T20:00:00+02:00";null
"GoRouter1";"2019-07-18T02:00:00+02:00";null
"GoRouter1";"2019-07-18T08:00:00+02:00";null
"GoRouter1";"2019-07-18T14:00:00+02:00";null
"GoRouter1";"2019-07-18T20:00:00+02:00";null
"GoRouter1";"2019-07-19T02:00:00+02:00";null
"GoRouter1";"2019-07-19T08:00:00+02:00";null
"GoRouter1";"2019-07-19T14:00:00+02:00";null
"GoRouter1";"2019-07-19T20:00:00+02:00";null
"GoRouter1";"2019-07-20T02:00:00+02:00";null
"GoRouter1";"2019-07-20T08:00:00+02:00";null
"GoRouter1";"2019-07-20T14:00:00+02:00";null
"GoRouter1";"2019-07-20T20:00:00+02:00";null
"GoRouter1";"2019-07-21T02:00:00+02:00";null
"GoRouter1";"2019-07-21T08:00:00+02:00";null
"GoRouter1";"2019-07-21T14:00:00+02:00";null
"GoRouter1";"2019-07-21T20:00:00+02:00";null
"GoRouter1";"2019-07-22T02:00:00+02:00";null
"GoRouter1";"2019-07-22T08:00:00+02:00";null
"GoRouter1";"2019-07-22T14:00:00+02:00";null
"GoRouter1";"2019-07-22T20:00:00+02:00";null
"GoRouter1";"2019-07-23T02:00:00+02:00";null
"GoRouter1";"2019-07-23T08:00:00+02:00";null
"GoRouter1";"2019-07-23T14:00:00+02:00";null
"GoRouter1";"2019-07-23T20:00:00+02:00";null
"GoRouter1";"2019-07-24T02:00:00+02:00";null
"GoRouter1";"2019-07-24T08:00:00+02:00";null
"GoRouter1";"2019-07-24T14:00:00+02:00";null
"GoRouter1";"2019-07-24T20:00:00+02:00";null
"GoRouter1";"2019-07-25T02:00:00+02:00";null
"GoRouter1";"2019-07-25T08:00:00+02:00";null
"GoRouter1";"2019-07-25T14:00:00+02:00";null
"GoRouter1";"2019-07-25T20:00:00+02:00";null
"GoRouter1";"2019-07-26T02:00:00+02:00";null
"GoRouter1";"2019-07-26T08:00:00+02:00";null
"GoRouter1";"2019-07-26T14:00:00+02:00";null
"GoRouter1";"2019-07-26T20:00:00+02:00";null
"GoRouter1";"2019-07-27T02:00:00+02:00";null
"GoRouter1";"2019-07-27T08:00:00+02:00";null
"GoRouter1";"2019-07-27T14:00:00+02:00";null
"GoRouter1";"2019-07-27T20:00:00+02:00";null
"GoRouter1";"2019-07-28T02:00:00+02:00";null
"GoRouter1";"2019-07-28T08:00:00+02:00";null
"GoRouter1";"2019-07-28T14:00:00+02:00";null
"GoRouter1";"2019-07-28T20:00:00+02:00";null
"GoRouter1";"2019-07-29T02:00:00+02:00";null
"GoRouter1";"2019-07-29T08:00:00+02:00";null
"GoRouter1";"2019-07-29T14:00:00+02:00";null
"GoRouter1";"2019-07-29T20:00:00+02:00";null
"GoRouter1";"2019-07-30T02:00:00+02:00";null
"GoRouter1";"2019-07-30T08:00:00+02:00";null
"GoRouter1";"2019-07-30T14:00:00+02:00";null
"GoRouter1";"2019-07-30T20:00:00+02:00";null
"GoRouter1";"2019-07-31T02:00:00+02:00";null
"GoRouter1";"2019-07-31T08:00:00+02:00";null
"GoRouter1";"2019-07-31T14:00:00+02:00";null
"GoRouter1";"2019-07-31T20:00:00+02:00";null
"GoRouter1";"2019-08-01T02:00:00+02:00";null
"GoRouter1";"2019-08-01T08:00:00+02:00";null
"GoRouter1";"2019-08-01T14:00:00+02:00";null
"GoRouter1";"2019-08-01T20:00:00+02:00";null
"GoRouter1";"2019-08-02T02:00:00+02:00";null
"GoRouter1";"2019-08-02T08:00:00+02:00";null
"GoRouter1";"2019-08-02T14:00:00+02:00";null
"GoRouter1";"2019-08-02T20:00:00+02:00";null
"GoRouter1";"2019-08-03T02:00:00+02:00";null
"GoRouter1";"2019-08-03T08:00:00+02:00";null
"GoRouter1";"2019-08-03T14:00:00+02:00";null
"GoRouter1";"2019-08-03T20:00:00+02:00";null
"GoRouter1";"2019-08-04T02:00:00+02:00";null
"GoRouter1";"2019-08-04T08:00:00+02:00";null
"GoRouter1";"2019-08-04T14:00:00+02:00";null
"GoRouter1";"2019-08-04T20:00:00+02:00";null
"GoRouter1";"2019-08-05T02:00:00+02:00";null
"GoRouter1";"2019-08-05T08:00:00+02:00";null
"GoRouter1";"2019-08-05T14:00:00+02:00";null
"GoRouter1";"2019-08-05T20:00:00+02:00";null
"GoRouter1";"2019-08-06T02:00:00+02:00";null
"GoRouter1";"2019-08-06T08:00:00+02:00";null
"GoRouter1";"2019-08-06T14:00:00+02:00";null
"GoRouter1";"2019-08-06T20:00:00+02:00";null
"GoRouter1";"2019-08-07T02:00:00+02:00";null
"GoRouter1";"2019-08-07T08:00:00+02:00";null
"GoRouter1";"2019-08-07T14:00:00+02:00";null
"GoRouter1";"2019-08-07T20:00:00+02:00";null
"GoRouter1";"2019-08-08T02:00:00+02:00";null
"GoRouter1";"2019-08-08T08:00:00+02:00";null
"GoRouter1";"2019-08-08T14:00:00+02:00";null
"GoRouter1";"2019-08-08T20:00:00+02:00";null
"GoRouter1";"2019-08-09T02:00:00+02:00";null
"GoRouter1";"2019-08-09T08:00:00+02:00";null
"GoRouter1";"2019-08-09T14:00:00+02:00";null
"GoRouter1";"2019-08-09T20:00:00+02:00";null
"GoRouter1";"2019-08-10T02:00:00+02:00";null
"GoRouter1";"2019-08-10T08:00:00+02:00";null
"GoRouter1";"2019-08-10T14:00:00+02:00";null
"GoRouter1";"2019-08-10T20:00:00+02:00";null
"GoRouter1";"2019-08-11T02:00:00+02:00";null
"GoRouter1";"2019-08-11T08:00:00+02:00";null
"GoRouter1";"2019-08-11T14:00:00+02:00";null
"GoRouter1";"2019-08-11T20:00:00+02:00";null
"GoRouter1";"2019-08-12T02:00:00+02:00";null
"GoRouter1";"2019-08-12T08:00:00+02:00";null
"GoRouter1";"2019-08-12T14:00:00+02:00";null
"GoRouter1";"2019-08-12T20:00:00+02:00";null
"GoRouter1";"2019-08-13T02:00:00+02:00";null
"GoRouter1";"2019-08-13T08:00:00+02:00";null
"GoRouter1";"2019-08-13T14:00:00+02:00";null
"GoRouter1";"2019-08-13T20:00:00+02:00";null
"GoRouter1";"2019-08-14T02:00:00+02:00";null
"GoRouter1";"2019-08-14T08:00:00+02:00";null
"GoRouter1";"2019-08-14T14:00:00+02:00";null
"GoRouter1";"2019-08-14T20:00:00+02:00";null
"GoRouter1";"2019-08-15T02:00:00+02:00";null
"GoRouter1";"2019-08-15T08:00:00+02:00";null
"GoRouter1";"2019-08-15T14:00:00+02:00";null
"GoRouter1";"2019-08-15T20:00:00+02:00";null
"GoRouter1";"2019-08-16T02:00:00+02:00";null
"GoRouter1";"2019-08-16T08:00:00+02:00";null
"GoRouter1";"2019-08-16T14:00:00+02:00";null
"GoRouter1";"2019-08-16T20:00:00+02:00";null
"GoRouter1";"2019-08-17T02:00:00+02:00";null
"GoRouter1";"2019-08-17T08:00:00+02:00";null
"GoRouter1";"2019-08-17T14:00:00+02:00";null
"GoRouter1";"2019-08-17T20:00:00+02:00";null
"GoRouter1";"2019-08-18T02:00:00+02:00";null
"GoRouter1";"2019-08-18T08:00:00+02:00";null
"GoRouter1";"2019-08-18T14:00:00+02:00";null
"GoRouter1";"2019-08-18T20:00:00+02:00";null
"GoRouter1";"2019-08-19T02:00:00+02:00";null
"GoRouter1";"2019-08-19T08:00:00+02:00";null
"GoRouter1";"2019-08-19T14:00:00+02:00";null
"GoRouter1";"2019-08-19T20:00:00+02:00";null
"GoRouter1";"2019-08-20T02:00:00+02:00";null
"GoRouter1";"2019-08-20T08:00:00+02:00";null
"GoRouter1";"2019-08-20T14:00:00+02:00";null
"GoRouter1";"2019-08-20T20:00:00+02:00";null
"GoRouter1";"2019-08-21T02:00:00+02:00";null
"GoRouter1";"2019-08-21T08:00:00+02:00";null
"GoRouter1";"2019-08-21T14:00:00+02:00";null
"GoRouter1";"2019-08-21T20:00:00+02:00";null
"GoRouter1";"2019-08-22T02:00:00+02:00";null
"GoRouter1";"2019-08-22T08:00:00+02:00";null
"GoRouter1";"2019-08-22T14:00:00+02:00";null
"GoRouter1";"2019-08-22T20:00:00+02:00";null
"GoRouter1";"2019-08-23T02:00:00+02:00";null
"GoRouter1";"2019-08-23T08:00:00+02:00";null
"GoRouter1";"2019-08-23T14:00:00+02:00";null
"GoRouter1";"2019-08-23T20:00:00+02:00";null
"GoRouter1";"2019-08-24T02:00:00+02:00";null
"GoRouter1";"2019-08-24T08:00:00+02:00";null
"GoRouter1";"2019-08-24T14:00:00+02:00";null
"GoRouter1";"2019-08-24T20:00:00+02:00";null
"GoRouter1";"2019-08-25T02:00:00+02:00";null
"GoRouter1";"2019-08-25T08:00:00+02:00";null
"GoRouter1";"2019-08-25T14:00:00+02:00";null
"GoRouter1";"2019-08-25T20:00:00+02:00";null
"GoRouter1";"2019-08-26T02:00:00+02:00";null
"GoRouter1";"2019-08-26T08:00:00+02:00";null
"GoRouter1";"2019-08-26T14:00:00+02:00";null
"GoRouter1";"2019-08-26T20:00:00+02:00";null
"GoRouter1";"2019-08-27T02:00:00+02:00";null
"GoRouter1";"2019-08-27T08:00:00+02:00";null
"GoRouter1";"2019-08-27T14:00:00+02:00";null
"GoRouter1";"2019-08-27T20:00:00+02:00";null
"GoRouter1";"2019-08-28T02:00:00+02:00";null
"GoRouter1";"2019-08-28T08:00:00+02:00";null
"GoRouter1";"2019-08-28T14:00:00+02:00";null
"GoRouter1";"2019-08-28T20:00:00+02:00";null
"GoRouter1";"2019-08-29T02:00:00+02:00";null
"GoRouter1";"2019-08-29T08:00:00+02:00";null
"GoRouter1";"2019-08-29T14:00:00+02:00";null
"GoRouter1";"2019-08-29T20:00:00+02:00";null
"GoRouter1";"2019-08-30T02:00:00+02:00";null
"GoRouter1";"2019-08-30T08:00:00+02:00";null
"GoRouter1";"2019-08-30T14:00:00+02:00";null
"GoRouter1";"2019-08-30T20:00:00+02:00";null
"GoRouter1";"2019-08-31T02:00:00+02:00";null
"GoRouter1";"2019-08-31T08:00:00+02:00";null
"GoRouter1";"2019-08-31T14:00:00+02:00";null
"GoRouter1";"2019-08-31T20:00:00+02:00";null
"GoRouter1";"2019-09-01T02:00:00+02:00";null
"GoRouter1";"2019-09-01T08:00:00+02:00";null
"GoRouter1";"2019-09-01T14:00:00+02:00";null
"GoRouter1";"2019-09-01T20:00:00+02:00";null
"GoRouter1";"2019-09-02T02:00:00+02:00";null
"GoRouter1";"2019-09-02T08:00:00+02:00";null
"GoRouter1";"2019-09-02T14:00:00+02:00";null
"GoRouter1";"2019-09-02T20:00:00+02:00";null
"GoRouter1";"2019-09-03T02:00:00+02:00";null
"GoRouter1";"2019-09-03T08:00:00+02:00";null
"GoRouter1";"2019-09-03T14:00:00+02:00";null
"GoRouter1";"2019-09-03T20:00:00+02:00";null
"GoRouter1";"2019-09-04T02:00:00+02:00";null
"GoRouter1";"2019-09-04T08:00:00+02:00";null
"GoRouter1";"2019-09-04T14:00:00+02:00";null
"GoRouter1";"2019-09-04T20:00:00+02:00";null
"GoRouter1";"2019-09-05T02:00:00+02:00";null
"GoRouter1";"2019-09-05T08:00:00+02:00";null
"GoRouter1";"2019-09-05T14:00:00+02:00";null
"GoRouter1";"2019-09-05T20:00:00+02:00";null
"GoRouter1";"2019-09-06T02:00:00+02:00";null
"GoRouter1";"2019-09-06T08:00:00+02:00";null
"GoRouter1";"2019-09-06T14:00:00+02:00";null
"GoRouter1";"2019-09-06T20:00:00+02:00";null
"GoRouter1";"2019-09-07T02:00:00+02:00";null
"GoRouter1";"2019-09-07T08:00:00+02:00";null
"GoRouter1";"2019-09-07T14:00:00+02:00";null
"GoRouter1";"2019-09-07T20:00:00+02:00";null
"GoRouter1";"2019-09-08T02:00:00+02:00";null
"GoRouter1";"2019-09-08T08:00:00+02:00";null
"GoRouter1";"2019-09-08T14:00:00+02:00";null
"GoRouter1";"2019-09-08T20:00:00+02:00";null
"GoRouter1";"2019-09-09T02:00:00+02:00";21.453139880952357
